id,title,status,intent,implemented,evidence,acceptance,next_deliverable,dependencies,sources,last_checked,implementation_owner,notes,related_pull_requests,mergeReview,snapshot.as_of,snapshot.description
CAT-E02,Review generic connection and execution guarantees,Implementation merged in the compatible baseline; live completion review outstanding,,,Gateway connection and dialect work is included in merged Catalyst main pinned at 47c80d9. Final Catalyst and harness baseline checks passed; recorded live facts remain historical until the dual-source owner gate.,"Same readable schema reaches model/editor; advisory validation permits exact SQL; source failure does not stop shell; no preferred-engine fallback; typed parameters, row/time bounds and source-write refusal have recorded mechanisms and limitations.","Exercise shared connection, source discovery, dialect behavior, exact SQL and native errors, and Superset connection reconciliation against both real sources at the local owner gate.","[""CAT-E01""]","[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-implementation-plan.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md"",""https://github.com/DIGI-UW/openelis-catalyst/tree/ce07504"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/artifacts/findings/spark-schema-exceeds-writer-context.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/artifacts/findings/superset-retains-the-retired-database-record.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/contracts/README.md"",""https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/tests/fixtures/superset-6.1/fixture.json"",""targets/catalyst/runtime/superset/receipts/latest/1ab809bea8ad2229b473ad95672f9d08eaf4b21dabda411b31c97fa49890db1d.json""]",2026-09-09,,,"[""https://github.com/DIGI-UW/openelis-catalyst/pull/78"",""https://github.com/DIGI-UW/openelis-catalyst/pull/73"",""https://github.com/DIGI-UW/openelis-catalyst/pull/71"",""https://github.com/DIGI-UW/openelis-catalyst/pull/64"",""https://github.com/DIGI-UW/openelis-catalyst/pull/63"",""https://github.com/DIGI-UW/openelis-catalyst/pull/62"",""https://github.com/DIGI-UW/openelis-catalyst/pull/61"",""https://github.com/DIGI-UW/openelis-catalyst/pull/60"",""https://github.com/DIGI-UW/openelis-catalyst/pull/59"",""https://github.com/DIGI-UW/openelis-catalyst/pull/57"",""https://github.com/DIGI-UW/openelis-catalyst/pull/56"",""https://github.com/DIGI-UW/openelis-catalyst/pull/47"",""https://github.com/DIGI-UW/openelis-catalyst/pull/46"",""https://github.com/DIGI-UW/openelis-catalyst/pull/45"",""https://github.com/DIGI-UW/openelis-catalyst/pull/44"",""https://github.com/DIGI-UW/openelis-catalyst/pull/43"",""https://github.com/DIGI-UW/openelis-catalyst/pull/42"",""https://github.com/DIGI-UW/openelis-catalyst/pull/41"",""https://github.com/DIGI-UW/openelis-catalyst/pull/40"",""https://github.com/DIGI-UW/openelis-catalyst/pull/37"",""https://github.com/DIGI-UW/openelis-catalyst/pull/36"",""https://github.com/DIGI-UW/openelis-catalyst/pull/34"",""https://github.com/DIGI-UW/openelis-catalyst/pull/33"",""https://github.com/DIGI-UW/openelis-catalyst/pull/32"",""https://github.com/DIGI-UW/openelis-catalyst/pull/30"",""https://github.com/DIGI-UW/openelis-catalyst/pull/29"",""https://github.com/DIGI-UW/openelis-catalyst/pull/28"",""https://github.com/DIGI-UW/openelis-catalyst/pull/27"",""https://github.com/DIGI-UW/openelis-catalyst/pull/26"",""https://github.com/DIGI-UW/openelis-catalyst/pull/25"",""https://github.com/DIGI-UW/openelis-catalyst/pull/24"",""https://github.com/DIGI-UW/openelis-catalyst/pull/23"",""https://github.com/DIGI-UW/openelis-catalyst/pull/22"",""https://github.com/DIGI-UW/openelis-catalyst/pull/21"",""https://github.com/DIGI-UW/openelis-catalyst/pull/20"",""https://github.com/DIGI-UW/openelis-catalyst/pull/19"",""https://github.com/DIGI-UW/openelis-catalyst/pull/18"",""https://github.com/DIGI-UW/openelis-catalyst/pull/17"",""https://github.com/DIGI-UW/openelis-catalyst/pull/16"",""https://github.com/DIGI-UW/openelis-catalyst/pull/15"",""https://github.com/DIGI-UW/openelis-catalyst/pull/14"",""https://github.com/DIGI-UW/openelis-catalyst/pull/13"",""https://github.com/DIGI-UW/openelis-catalyst/pull/12"",""https://github.com/DIGI-UW/openelis-catalyst/pull/11"",""https://github.com/DIGI-UW/openelis-catalyst/pull/10"",""https://github.com/DIGI-UW/openelis-catalyst/pull/6"",""https://github.com/DIGI-UW/openelis-catalyst/pull/5"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/99"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/98"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/42"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/41"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/37""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E03,Separate reference sources and accept the Spark deployment,OpenELIS and OpenMRS catalog identities are separated in the merged baseline; complete dual-source live acceptance remains open,,,Merged Catalyst and harness configuration assigns OpenELIS to openelis and OpenMRS to openmrs_hiv; the earlier HIV-only browser demo remains historical evidence rather than dual-source acceptance.,Selected source does not expose another source's registered tables; Parquet and views exist; successful and invalid SQL reach Spark; write to source data refused; originating value renders through Superset.,Run one complete real source-to-browser proof for OpenELIS and OpenMRS at the local owner gate and confirm neither source exposes the other's registered relations.,"[""CAT-E01"",""CAT-E02""]","[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-program-roadmap.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-implementation-plan.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/catalyst-sources/openmrs-hiv"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/artifacts/findings/two-sources-share-one-spark-namespace.md"",""https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/catalyst-ui/e2e/fhir-to-dashboard-demo.spec.ts""]",2026-09-09,,,"[""https://github.com/pmanko/clinical-ai-validation-harness/pull/63"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/61"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/52""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E04,Finish the reader-led harness and command cleanup,Direct database execution and launcher repair merged; scenario references and reader packet remain separately scheduled,,,Branch deletes database checker classes but retains gold-check schema/rationale; comparison wrapper imports removed helper; report retains older matching presentation. Exact remote source also showed catalyst-comparison.sh importing removed postgres_dsn at startup. The import is removed on the current harness PR #100 head (9d67fbb); the comparison has not been rerun.,"Ready selected SQL executes once through Catalyst; other writer outcomes execute none; no direct analytics connection, per-run reference execution, automatic factual equivalence, ranking or forced winner; incomplete collection remains visible.","After the product usability gate, finish reviewed Spark references and produce the reader packet before any paid comparison run.","[""CAT-E01"",""CAT-E02""]","[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-implementation-plan.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/tasks.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/run-config.template.json"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/harness/catalyst/notebook_validation.py"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/scripts/catalyst-comparison.sh"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/harness/catalyst/reader_review.py"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/harness/catalyst/phase1_report.py"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/scripts/validate-dashboard.py"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-notebook-t094-v1.json"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/contracts/README.md""]",2026-09-06,,,"[""https://github.com/DIGI-UW/openelis-catalyst/pull/77"",""https://github.com/DIGI-UW/openelis-catalyst/pull/76"",""https://github.com/DIGI-UW/openelis-catalyst/pull/72"",""https://github.com/DIGI-UW/openelis-catalyst/pull/70"",""https://github.com/DIGI-UW/openelis-catalyst/pull/69"",""https://github.com/DIGI-UW/openelis-catalyst/pull/68"",""https://github.com/DIGI-UW/openelis-catalyst/pull/67"",""https://github.com/DIGI-UW/openelis-catalyst/pull/66"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/97"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/96"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/95"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/94"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/93"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/92"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/90"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/89"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/85"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/83"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/80"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/79"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/77"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/75"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/74"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/73"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/71"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/70"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/69"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/68"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/67"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/64"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/62"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/60"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/59"",""https://github.com/pmanko/med-agent-hub/pull/21""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E05,Prepare reviewed Spark scenario references,Not complete for current Spark schema,,,V2 suite still contains old catalog/source references and gold-check structures; plan lines 292-329 requires fresh design-time reference review.,"Each ready reference authored, run and reviewed once through accepted Catalyst; clarification/unsupported expectations use actual readable schema; reference not replayed during comparison; owner reviews references and reader packet before paid collection.","Current 12-scenario, 21-turn suite with source/schema identity, static ready-turn reference facts and reviewed non-SQL expectations.","[""CAT-E03"",""CAT-E04""]","[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-program-roadmap.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-implementation-plan.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-phase1-comparison-v2.json"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-phase1-reader-rubric-v1.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/run-config.template.json""]",2026-09-06,,,[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E06,Run and review the fresh Phase 1 model-team comparison,Launcher and source configuration merged through harness #100; comparison remains separately scheduled and has not been rerun,,,Current program roadmap Phase 1 completion; later Aug27 publication explicitly says comparison has not been rerun.,Same suite/rubric/configuration across selected teams; wrong SQL/errors remain observations; one full-context reader by default; frontier-model interpretation labelled as such; no automatic winner; owner accepts product path/report.,"After the product delivery gate and reviewed scenario references, run the complete suite per selected team and produce the reader-led report deliverables.","[""CAT-E04"",""CAT-E05""]","[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-program-roadmap.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-implementation-plan.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-phase1-comparison-v2.json"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-phase1-reader-rubric-v1.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/run-config.template.json"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/scripts/catalyst-comparison.sh"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/harness/catalyst/reader_review.py"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/harness/catalyst/phase1_report.py"",""Expected future output: artifacts/catalyst-notebook-validation/<new-run-id>"",""https://reports.openclinai.org/""]",2026-09-06,,,"[""https://github.com/DIGI-UW/openelis-catalyst/pull/77"",""https://github.com/DIGI-UW/openelis-catalyst/pull/76"",""https://github.com/DIGI-UW/openelis-catalyst/pull/72"",""https://github.com/DIGI-UW/openelis-catalyst/pull/70"",""https://github.com/DIGI-UW/openelis-catalyst/pull/69"",""https://github.com/DIGI-UW/openelis-catalyst/pull/68"",""https://github.com/DIGI-UW/openelis-catalyst/pull/67"",""https://github.com/DIGI-UW/openelis-catalyst/pull/66"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/97"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/96"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/95"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/94"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/93"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/92"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/90"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/89"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/85"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/83"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/80"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/79"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/77"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/75"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/74"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/73"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/71"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/70"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/69"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/68"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/67"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/64"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/62"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/60"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/59"",""https://github.com/pmanko/med-agent-hub/pull/21""]","{""report"":""reviews/2026-09-06.md"",""result"":""Obsolete import reproduced; 196 configuration/notebook tests pass but do not exercise the shell entry point. Fixed on harness 9d67fbb (PR #100); a fresh comparison still has to run."",""reviewedAt"":""2026-09-06""}",2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E07,Define Phase 2 conversation mode,Planned; scope intentionally undecided,,,Program roadmap phases table; tasks lines 108-112.,Scope and acceptance explicitly set after Phase 1 report review; no inferred implementation requirements or automatic team-selection prerequisite.,"Owner-reviewed conversation behavior and acceptance: turns may answer, ask, explain or generate SQL using Phase 1 session state.","[""CAT-E06""]","[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-program-roadmap.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/tasks.md""]",2026-09-06,,,[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E08,Complete Phase 3 Dashboard Builder against the binding design,Accepted notebook/design and smoke; final implementation/visual acceptance open,,,Feature spec lines 241-249; delivery goal lines 43-102; narrow Aug27 browser smoke does not close full Phase 3.,"Required visible behavior preserved; immutable assets, compatible chart choice, multi-widget arrangement and deterministic import receipts; exact originating values render; focused API/component/bundle/accessibility tests and explicit owner browser acceptance.","Live side-by-side walkthrough of Workbench, Dataset/Widget/Dashboard reviews and libraries, arrangement, publication/import/error states and accessibility.","[""CAT-E07""]","[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/tasks.md"",""https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/docs/dashboard-builder-mvp-design.md"",""https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/docs/prototypes/dashboard-builder-mvp/Catalyst%20Dashboard%20Builder%204c.dc.html"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/dashboard-mvp-delivery-goal.md"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/contracts/README.md"",""https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/tests/fixtures/superset-6.1/fixture.json""]",2026-09-06,,,"[""https://github.com/DIGI-UW/openelis-catalyst/pull/65"",""https://github.com/DIGI-UW/openelis-catalyst/pull/8"",""https://github.com/DIGI-UW/openelis-catalyst/pull/7"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/48"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/46"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/44""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E09,Preserve the complete FHIR-to-dashboard demo and align public pointers,Browser demo and video published; local recovery and canvas alignment needed,,,"Historical Playwright result 1 passed in 3.6m, seven screenshots; later video HTTP200 and remote commit push; raw scratchpad missing locally.","Recording clearly shows actual pipeline, generated query, results, saved assets, importer and Superset; raw evidence/revision/date retained; status copy distinguishes working demonstration from uncompleted model comparison and final acceptance.",Recover remote demo spec/timeline/guide and current media pointers; align stale canvas with published landing state without losing historical recordings.,"[""CAT-E01""]","[""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md"",""https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/catalyst-ui/e2e/fhir-to-dashboard-demo.spec.ts"",""https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/catalyst-ui/e2e/fhir-to-dashboard-demo.timeline.json"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/demo-video-recording-guide.md"",""https://catalyst.openelis-global.org/media/catalyst-fhir-to-dashboard-demo-20260827.mp4"",""https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/artifacts/canvases/catalyst-demos.canvas.tsx"",""Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 (supporting evidence)""]",2026-09-06,,,"[""https://github.com/DIGI-UW/openelis-catalyst/pull/75"",""https://github.com/DIGI-UW/openelis-catalyst/pull/55"",""https://github.com/DIGI-UW/openelis-catalyst/pull/31"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/91"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/55"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/50""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E10,Consolidate Catalyst specifications and planning,Complete in the current consolidation delivery,,,"Catalyst #82 applies the frozen Workbench behavior to the product and binding authorities. Harness #110 makes the Feature 008 plan own sequence, its specification own integration acceptance, tasks own progress, and retired bodies link to those successors.","No unique current requirement disappears; no competing delivery sequence remains; product behavior, binding design, evaluation decisions, implementation sequence, and progress each have one named owner document.",Maintain the same authority set as implementation findings require amendments; do not create another delivery plan.,"[""CAT-E01""]","[""specs/008-catalyst-query-workbench/plan.md"",""specs/008-catalyst-query-workbench/tasks.md"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/109""]",2026-09-10,,,"[""https://github.com/pmanko/clinical-ai-validation-harness/pull/109"",""https://github.com/DIGI-UW/catalyst-ai/pull/82"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/110""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
CAT-E11,Implement the frozen Catalyst usability design,Question writing merged; shell and appearance next,,,"Catalyst #83 merged as c181b6b with all five hosted jobs passing. The complete UI unit suite (265 tests), type, lint, production build, deterministic composer checks, and the full deterministic query-to-table journey passed. This establishes the question-writing behavior; live dual-source owner acceptance remains open.","Clinical and program staff can ask and refine questions without SQL knowledge; analyst complexity remains available through a quiet workspace-wide Advanced mode; state and focus survive navigation, errors, retry, resizing, and theme changes.","Implement the friendly light and dark shell, View options, and workspace-wide Advanced mode while preserving every current session and analyst capability.","[""CAT-E10""]","[""specs/008-catalyst-query-workbench/plan.md"",""specs/008-catalyst-query-workbench/tasks.md"",""targets/catalyst/docs/dashboard-builder-mvp-design.md""]",2026-09-10,,,"[""https://github.com/pmanko/clinical-ai-validation-harness/pull/109"",""https://github.com/DIGI-UW/catalyst-ai/pull/83""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
upstream.older_prs,Resolve older open OpenMRS contributions,Disposition review needed,,,,No closure or supersession inferred from titles alone; retain useful unique work and obtain approval before remote disposition.,"Compare nine older open pull requests with the active integration lines and record keep, incorporate, or close recommendations.",,"[""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/11"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/10"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/9"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/72"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/25"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/22"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/21"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/20"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/19""]",2026-09-06,,,"[""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/11"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/10"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/9"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/72"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/25"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/22"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/21"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/20"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/19"",""https://github.com/openmrs/openmrs-module-querystore/pull/68"",""https://github.com/openmrs/openmrs-module-querystore/pull/63""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
coordination.status_hub,Shared project status and artifact inventory,Dashboard implemented; GitHub Pages publication pull request active,,,,Requirements remain in their approved authorities; current work and evidence can be found without replaying sessions.,Merge harness #101 and use the GitHub Pages dashboard as the shared browser; update the repository inventory after meaningful work events.,,"[""specs/artifacts/project-status/README.md"",""specs/artifacts/project-status/maintenance.md""]",2026-09-09,,,"[""https://github.com/pmanko/clinical-ai-validation-harness/pull/101"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/65"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/57""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
